text_clean,text_preprocessed
tunjukkan sertifikat vaksinasi covid anda dan dapatkan rate khusus menginap di oakwood hotel amp  residence surabaya mulai dari rp  netroomnight follow  untuk info lebih lanjut atau whatsapp   untuk reservasi,"['tunjuk', 'sertifikat', 'vaksinasi', 'covid', 'dapat', 'rate', 'khusus', 'inap', 'oakwood', 'hotel', 'amp', 'residence', 'surabaya', 'rp', 'netroomnight', 'follow', 'info', 'whatsapp', 'reservasi']"
tujuannya membantu surabaya menekan seluruh kesakitan di kota surabaya  termasuk bersama kampung tangguh dalam menangani pandemi covid yang masih terjadi,"['tuju', 'bantu', 'surabaya', 'tekan', 'sakit', 'kota', 'surabaya', 'kampung', 'tangguh', 'tangan', 'pandemi', 'covid']"
sekolah jenjang smp dan kelas  sd mulai melakukan pembelajaran tatap muka ptm terbatas tentunya bagi sekolahsekolah yang telah lulus asesmen dari satgas covid kota surabaya,"['sekolah', 'jenjang', 'smp', 'kelas', 'sd', 'ajar', 'tatap', 'muka', 'ptm', 'batas', 'sekolahsekolah', 'lulus', 'asesmen', 'satgas', 'covid', 'kota', 'surabaya']"
kali ini kita optimis tidak akan ada lonjakan kasus covid di surabaya sebab warga surabaya sudah komitmen untuk njogo barengbareng suroboyo iki  data pun sejauh ini menunjukkan demikian jumlah kasus aktif di surabaya sangat landai dan terkendali,"['kali', 'optimis', 'lonjak', 'covid', 'surabaya', 'warga', 'surabaya', 'komitmen', 'njogo', 'barengbareng', 'suroboyo', 'iki', 'data', 'aktif', 'surabaya', 'landai', 'kendali']"
persen dari total pegawai pemkot surabaya diuji swab sejak  november kemarin hingga  desember   tujuannya untuk antisipasi menjelang akhir tahun yang biasanya ada lonjakan kasus covid selain masyarakat petugase yo kudu dipastekno negatif covid,"['persen', 'total', 'pegawai', 'pemkot', 'surabaya', 'uji', 'swab', 'november', 'kemarin', 'desember', 'tuju', 'antisipasi', 'jelang', 'lonjak', 'covid', 'masyarakat', 'petugase', 'yo', 'kudu', 'dipastekno', 'negatif', 'covid']"
ap mohon informasi syarat penerbangan terkait covid  untuk ke tujuan ke lia dari surabaya dan banjarmasin terima kasih,"['ap', 'mohon', 'informasi', 'syarat', 'terbang', 'kait', 'covid', 'tuju', 'lia', 'surabaya', 'banjarmasin', 'terima', 'kasih']"
gemasulawesi salah satu pegawai palang merah indonesia surabaya bernama yogi agung prima wardana dipecat karena didakwa perjualbelikan plasma konvalesen bagi pasien covid seharga jutaan rupiah “pmi surabaya telah melakukan pemecatan terhadap,"['gemasulawesi', 'salah', 'pegawai', 'palang', 'merah', 'indonesia', 'surabaya', 'nama', 'yogi', 'agung', 'prima', 'wardana', 'pecat', 'dakwa', 'perjualbelikan', 'plasma', 'konvalesen', 'pasien', 'covid', 'harga', 'juta', 'rupiah', '', 'pmi', 'surabaya', 'pecat']"
jpu kejati jatim rakhmad hari basuki menyebut tlh membacakan dakwaan utk yogi agung prima wardhana di pn surabaya ia merupakan oknum pegawai pmi surabaya trdkw melakukan jual beli plasma darah konvalesen kpd keluarga pasien covid yg sdg membutuhkan ,"['jpu', 'kejat', 'jatim', 'rakhmad', 'basuki', 'sebut', 'tlh', 'baca', 'dakwa', 'utk', 'yogi', 'agung', 'prima', 'wardhana', 'pn', 'surabaya', 'oknum', 'pegawai', 'pmi', 'surabaya', 'trdkw', 'jual', 'beli', 'plasma', 'darah', 'konvalesen', 'kpd', 'keluarga', 'pasien', 'covid', 'yg', 'sdg', 'butuh']"
semasa rame covid udara di surabaya tidak sepanas hari hari ini sekarang covid melandai dan banyak proyek buka panas nya ruarrr biasa apakah ada hubungannya yaa antara proyek panas dan hujan,"['rame', 'covid', 'udara', 'surabaya', 'panas', 'covid', 'landai', 'proyek', 'buka', 'panas', 'nya', 'ruarrr', 'hubung', 'yaa', 'proyek', 'panas', 'hujan']"
pagii mitra mtb dari hasil asesmen situasi penanganan covid kota surabaya yang akhirnya turun ke ppkm level  membuat walkot eri cahyadi fokus pemulihan ekonomi  ketika pemulihan ekonomi tapi kondisi keuangan lagi drop kira apa yang harus mitra mtb lakukan,"['pagi', 'mitra', 'mtb', 'hasil', 'asesmen', 'situasi', 'tangan', 'covid', 'kota', 'surabaya', 'turun', 'ppkm', 'level', 'walkot', 'eri', 'cahyadi', 'fokus', 'pulih', 'ekonomi', 'pulih', 'ekonomi', 'kondisi', 'uang', 'drop', 'mitra', 'mtb', 'laku']"
