created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Aug 24 13:29:06 +0000 2021,1.43016E+18,"Jombang Cikal Bakal Perjuangan Kemerdekaan Bangsa Indonesia  Menyusul Jakarta &amp  Surabaya, kini Jombang Menolak Talibanisasi Indonesia!!! Jaga Kampung Desa Dari Corona, Talibanisasi Radikalisme Khilafah Komunisme Terorisme  #Merdeka  #GardaNusantaraBersatu  #GardaBentengNusantara https://t.co/IZBoRumtb3",0,1,1,4,in,3219941226,1.43016E+18,PNIB_Official,https://twitter.com/PNIB_Official/status/1430160239438008327
Tue Aug 24 12:15:30 +0000 2021,1.43014E+18,"Surabaya Menolak Talibanisasi!! Menyusul Jakarta, Surabaya Pun Menolak Upaya Talibanisasi Indonesia!!! Jaga Kampung Desa Dari Corona, Talibanisasi Radikalisme Khilafah Komunisme Terorisme #merdeka  #GardaNusantaraBersatu  #GardaBentengNusantara https://t.co/VUIHOuTwZu",0,0,0,1,in,3219941226,1.43014E+18,PNIB_Official,https://twitter.com/PNIB_Official/status/1430141716246327299
Tue Aug 24 04:01:45 +0000 2021,1.43002E+18,"24 Agustus 2021 Sejaaaarrrhhh..!!!! Setahun ngga mau potong rambut, kalo kata dia “ini smua gara2 corona, aq takut potong rambut krn bekas org” 😭😂👻 @ Surabaya, Indonesia https://t.co/QLnqc7s2Gx",0,0,0,0,in,85090514,1.43002E+18,Sasipink,https://twitter.com/Sasipink/status/1430017457763258368
Mon Aug 23 12:34:16 +0000 2021,1.42978E+18,"#Flashnews - Hingga 30 Agustus mendatang, Surabaya Raya ada di level 3 penerapan PPKM.  Penurunan level PPKM itu tak lepas dari penurunan kasus positif virus corona (Covid-19), kematian serta tingkat keterisian rumah sakit rujukan atau bed occupancy rate (BOR). (hm) https://t.co/yGuKsOS0Dd",22,39,55,118,in,848614550,1.42978E+18,e100ss,https://twitter.com/e100ss/status/1429784049158017029
Mon Aug 23 08:21:31 +0000 2021,1.42972E+18,"Corona Merenggut 1.400 Keluarga di Surabaya, Anaknya Disekolahkan Hingga Mahasiswa - https://t.co/3MPskCVsMR",0,0,0,0,in,8.17669E+17,1.42972E+18,kalderanews,https://twitter.com/kalderanews/status/1429720444525969410
Sat Aug 21 04:47:02 +0000 2021,1.42894E+18,@Ndons_Back Jadi ingat SOFTWARE PENANGKAL CORONA kreasi mantan walikota Surabaya👻👻,0,0,3,13,in,1.06045E+18,1.42889E+18,pakguruhonorer,https://twitter.com/pakguruhonorer/status/1428941693072547840
Sat Aug 21 01:31:33 +0000 2021,1.42889E+18,"Cegah Klaster Corona Baru, IPHI gelar Swab Test Jelang Muktamar VII di Surabaya https://t.co/BNA5GfWHD1",0,0,0,0,in,1.20034E+18,1.42889E+18,hajinewsonline,https://twitter.com/hajinewsonline/status/1428892497737142272
Fri Aug 20 23:47:04 +0000 2021,1.42887E+18,"Kapasitas 800 Pasien, KSAL Resmikan RS Darurat Corona di Pangkalan Marinir Surabaya https://t.co/0guLOpjR6X",0,0,0,0,in,1.19594E+18,1.42887E+18,mbsnewsid,https://twitter.com/mbsnewsid/status/1428866203192340485
Thu Aug 19 12:47:57 +0000 2021,1.42834E+18,"Mending anggarannya buat beli nasi bungkus dan dibagikan bagi warga surabaya dan sekitarnya yang masih banyak kelaparan karena virus corona, dari bikin program gak genah karo iso ne munf marah2 tok gak jelas koen iku cok !  #PPKMSuksesTekanKovid #ThisIsIndonesiaHUTRI76 #rezimhalu https://t.co/ZUl3fLJgCO",0,0,0,0,in,145368724,1.42834E+18,nannaa135,https://twitter.com/nannaa135/status/1428337943492497411
Thu Aug 19 10:18:49 +0000 2021,1.4283E+18,@davidpu68353534 @hana123790 @mx00711 @donarevi @Kaf1Rzion1s @wajahsementara @ahmedasarlan @Vi_MAE_ @agama_nusantara @AremaNita__ @SUMINTA75437379 @Hayuningrat7 @IngieCS @kelincipetelur @eksmuslim @PapaeFiska @Corona_KafirNw @BayuAngora @quraishihab Kayak makelar bus... Sini Surabaya Surabaya... Dia sendiri tetap tinggal di terminal. Tetap jadi makelar... 🤪,0,1,0,2,in,18022527,1.42739E+18,pieterpitojo,https://twitter.com/pieterpitojo/status/1428300411899764744
