created_at,id_str,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,text_clean,text_preprocessed
Fri Aug 11 01:40:02 +0000 2023,1689813896792866816,0,0,2,0,in,1257994548615114754,1689477838368555008,Fikfinicky990,https://twitter.com/Fikfinicky990/status/1689813896792866816,soal bioskop aku baru kemarin cek salah satu xxi di surabaya ada yg jual tiket k  perasaan dulu sebelum covid k ehh sekarang malah turun jadi k,"['bioskop', 'kemarin', 'cek', 'salah', 'xxi', 'surabaya', 'yg', 'jual', 'tiket', 'k', 'asa', 'covid', 'k', 'ehh', 'turun', 'k']"
Tue Aug 08 06:04:40 +0000 2023,1688793328358432768,0,1,0,0,in,1407747162629296138,1688756018258522112,akuusiiapaaaaaa,https://twitter.com/akuusiiapaaaaaa/status/1688793328358432768,ini yang ngalamin bukan aku sih nder tapi mantan aku waktu itu mantan aku ikut mbaknya ke surabayanah pas di surabaya dia kena covid nah kebetulan orang tuanya mantan aku ini ga suka sama aku tiba² bapaknya itu minta gabung vc an dan bapaknya bilang gini,"['ngalamin', 'sih', 'nder', 'mantan', 'mantan', 'mbak', 'surabayanah', 'pas', 'surabaya', 'kena', 'covid', 'orang', 'tua', 'mantan', 'ga', 'suka', 'tiba', 'bapak', 'gabung', 'vc', 'an', 'bapak', 'bilang', 'gin']"
Mon Aug 07 14:21:54 +0000 2023,1688556074633428992,0,0,0,0,in,1556500724988534784,1688556074633428992,prastio3_totok,https://twitter.com/prastio3_totok/status/1688556074633428992,pn surabaya masih berlakukan sidang daring meskipun pandemi covid sudah dicabut,"['pn', 'surabaya', 'laku', 'sidang', 'daring', 'pandemi', 'covid', 'cabut']"
Mon Aug 07 05:09:52 +0000 2023,1688417151798104064,0,0,0,1,in,1359364190419341314,1688417151798104064,CelahId,https://twitter.com/CelahId/status/1688417151798104064,pemerintah menerbirkan peraturan presiden republik indonesia perpres nomor  tahun  tentang pengakhiran penanganan pandemi covid,"['perintah', 'bir', 'atur', 'presiden', 'republik', 'indonesia', 'pres', 'nomor', 'akhir', 'tangan', 'pandemi', 'covid']"
Mon Jul 31 23:22:02 +0000 2023,1686155287311630336,0,0,0,0,in,21287066,1686155287311630336,beritajatimcom,https://twitter.com/beritajatimcom/status/1686155287311630336,warga mojokerto sumringah desanya dipakai kkn  negara 👇  sempat vakum tiga tahun akibat pandemi covid uk petra surabaya kembali menggelar kkn internasional cop di kabupaten…    via,"['warga', 'mojokerto', 'sumringah', 'desa', 'pakai', 'kkn', 'negara', '', 'vakum', 'akibat', 'pandemi', 'covid', 'uk', 'tra', 'surabaya', 'gelar', 'kkn', 'internasional', 'cop', 'kabupaten', 'via']"
Fri Jul 28 23:51:28 +0000 2023,1685075532562735105,0,0,0,0,in,56701660,1684992331546763264,rohibur_rizqi,https://twitter.com/rohibur_rizqi/status/1685075532562735105,awayday jawab dikit gak semua nya warga surabaya pasti ada sekitaran sidoarjo gresik dan pasuruan dulu sebelum covid pernah tanya sihh pas away bandung 😅  klo fanatik minim bisa beli tiket 🥲 untuk bertahan hidup nya itu yg kurang tau,"['awayday', 'dikit', 'gak', 'nya', 'warga', 'surabaya', 'sekitar', 'sidoarjo', 'gresik', 'pasuruan', 'covid', 'sihh', 'pas', 'away', 'bandung', '', 'klo', 'fanatik', 'minim', 'beli', 'tiket', '', 'tahan', 'hidup', 'nya', 'yg', 'tau']"
Mon Jul 24 00:17:27 +0000 2023,1683270128966963201,0,1,0,0,in,2862109627,1682988067081318400,FelixSGL1,https://twitter.com/FelixSGL1/status/1683270128966963201,case soal surabaya pernah ane bahas bukannya bela tapi emang cuma perkara waktunya juga ga sih bermasalah ybs sebagai walikota baru di  tahun pertama fokus soal covid n pulihin ekonomi sementara kerja cuma  tahun  tahun berikutnya ga maksimal lah,"['case', 'surabaya', 'ane', 'bahas', 'bela', 'emang', 'perkara', 'ga', 'sih', 'masalah', 'ybs', 'walikota', 'fokus', 'covid', 'n', 'pulihin', 'ekonomi', 'kerja', 'ga', 'maksimal']"
Sat Jul 22 05:46:51 +0000 2023,1682628251985006592,1,0,0,0,in,143756229,1682628251985006592,banggavann,https://twitter.com/banggavann/status/1682628251985006592,ya biar dikata sekarang miskin iya sekarang emang aku lagi miskin tapi kemarin pernah punya  gerai cincau best seller surabaya  outlet kopi kekinian skala nasyienel  resto korea hitz yg skrg udah tutupbangkrut karena covid gerai tahu goreng di  mall premium surabaya,"['ya', 'biar', 'kata', 'miskin', 'iya', 'emang', 'miskin', 'kemarin', 'gerai', 'cincau', 'best', 'seller', 'surabaya', 'outlet', 'kopi', 'kini', 'skala', 'nasyienel', 'resto', 'korea', 'hitz', 'yg', 'skrg', 'udah', 'tutupbangkrut', 'covid', 'gerai', 'goreng', 'mall', 'premium', 'surabaya']"
Wed Jul 19 06:35:09 +0000 2023,1681553241774129158,0,0,0,0,in,79130206,1681553241774129158,jpnncom,https://twitter.com/jpnncom/status/1681553241774129158,jadwal dan lokasi vaksin covid surabaya hari ini  juli,"['jadwal', 'lokasi', 'vaksin', 'covid', 'surabaya', 'juli']"
Mon Jul 17 11:38:19 +0000 2023,1680904761502236672,0,0,3,0,in,1296736516161454080,1680904761502236672,GubernurG5,https://twitter.com/GubernurG5/status/1680904761502236672,karena banteng ada pembangun lanjutan siapapun kader mereka di fokuskan kemana bu risma di fokuskan ke tata kota eri cahyadi fokus ke umkm karena ukm surabaya lesu sejak covid dan sekarang naik lagi ukm nya makanya eri kerjasama dengan banyak vlogger untuk majuin ukm,"['banteng', 'bangun', 'lanjut', 'kader', 'fokus', 'mana', 'bu', 'risma', 'fokus', 'tata', 'kota', 'eri', 'cahyadi', 'fokus', 'umkm', 'ukm', 'surabaya', 'lesu', 'covid', 'ukm', 'nya', 'eri', 'kerjasama', 'vlogger', 'majuin', 'ukm']"
